Feature,Coefficient,Abs_Coefficient
num__is_holiday_season,-0.6103259782527481,0.6103259782527481
num__is_repeatable_category,-0.4645352931780612,0.4645352931780612
num__uses_installments,-0.2596034479343207,0.2596034479343207
num__is_high_freight,0.14021917046159255,0.14021917046159255
num__is_late_delivery,-0.13921741118286624,0.13921741118286624
num__is_southeast,-0.12420882576381963,0.12420882576381963
num__is_weekend,0.10921618134962637,0.10921618134962637
num__num_items,-0.07310428016946825,0.07310428016946825
num__is_very_late,-0.06466238726351728,0.06466238726351728
num__cluster_1,0.0641088211042446,0.0641088211042446
num__is_heavy_product,0.049578976660653806,0.049578976660653806
num__cluster_0,0.03692219783564476,0.03692219783564476
num__purchase_day_of_week,-0.03151766839920091,0.03151766839920091
num__has_comment,0.025087821661917583,0.025087821661917583
num__is_early_delivery,-0.021245689706705352,0.021245689706705352
num__purchase_month,0.01551281288968272,0.01551281288968272
num__freight_pct,-0.01163443519344654,0.01163443519344654
num__delivery_delay,0.008039443905539304,0.008039443905539304
num__days_to_delivery,0.004094930248308272,0.004094930248308272
num__price_per_item,0.0004954516883868312,0.0004954516883868312
